Time,channel,V RMS,C RMS,V MOM,C MOM,V FUND,C FUND,V PERIOD,C PHASE SH,V SAG TIME,V SWELL TIME,C SWELL TIME,EN_ACT,EN_REACT,EN_APP,POW_ACT,POW_REACT,POW_APP,AHACC
29,2,35,836,28,60,-27,69,119,10840,0,0,0,0,0,0,0,-2,33,0
30,1,35,9,12,2,0,23,109,12584,0,0,0,0,0,0,-2,-2,0,0
30,2,35,836,32,123,-28,-225,463,13616,0,0,0,0,0,0,3,-3,37,0
31,1,35,11,-119,20,11,1,490,14976,0,0,0,0,0,0,0,-2,0,0
31,2,35,834,-45,117,-33,-69,185,10888,0,0,0,0,0,0,-3,-2,33,0
32,1,35,9,0,1,18,23,49,9664,0,0,0,0,0,0,0,-2,0,0
32,2,35,834,23,109,-29,121,161,10016,0,0,0,0,0,0,2,0,41,0
33,1,35,9,-53,12,-35,0,69,9552,0,0,0,0,0,0,-2,-2,0,0
33,2,35,836,-55,119,-29,-250,196,9840,0,0,0,0,0,0,-2,-3,33,0
34,1,35,9,107,15,-27,3,192,14112,0,0,0,0,0,0,-2,-2,0,0
34,2,35,836,72,71,11,-77,316,15384,0,0,0,0,0,0,-2,-2,37,0
35,1,35,11,-138,19,-25,20,29,10936,0,0,0,0,0,0,-2,-2,0,0
35,2,35,834,-149,10,-26,-12,388,8312,0,0,0,0,0,0,0,1,37,0
36,1,35,9,-28,21,15,1,2,13472,0,0,0,0,0,0,-2,-2,0,0
36,2,35,834,-43,-165,10,91,139,10136,0,0,0,0,0,0,1,1,35,0
37,1,35,11,-45,18,13,3,145,11432,0,0,0,0,0,0,0,-2,0,0
37,2,35,834,11,245,0,124,240,10240,0,0,0,0,0,0,0,0,35,0
38,1,35,9,4,12,11,22,163,10672,0,0,0,0,0,0,-2,-2,0,0
38,2,35,834,-72,-4,-28,151,404,13808,0,0,0,0,0,0,0,-3,35,0
39,1,35,11,35,0,17,20,510,12480,0,0,0,0,0,0,-2,-2,0,0
39,2,35,834,116,-118,8,137,34,16296,0,0,0,0,0,0,3,0,35,0
40,1,35,9,46,8,6,22,16,13280,0,0,0,0,0,0,0,-2,0,0
40,2,35,834,-47,234,13,116,435,11576,0,0,0,0,0,0,2,-3,35,0
41,1,35,11,-50,22,9,20,190,9480,0,0,0,0,0,0,-2,-2,0,0
41,2,35,834,-91,11,8,19,116,10168,0,0,0,0,0,0,-2,-2,35,0
42,1,35,9,11,19,-37,2,4,10256,0,0,0,0,0,0,-2,-2,0,0
42,2,35,834,-87,-137,4,-67,54,13808,0,0,0,0,0,0,2,-6,35,0
43,1,35,9,54,14,3,21,5,16592,0,0,0,0,0,0,0,-2,0,0
43,2,35,834,102,138,-31,-215,206,10944,0,0,0,0,0,0,-2,0,35,0
44,1,35,9,-40,13,8,23,83,13408,0,0,0,0,0,0,0,-2,0,0
44,2,35,834,-118,-64,-25,124,353,13408,0,0,0,0,0,0,-3,-4,35,0
45,1,35,9,3,18,9,2,141,13992,0,0,0,0,0,0,0,-2,0,0
45,2,35,831,14,-216,3,-36,44,10208,0,0,0,0,0,0,0,-2,35,0
46,1,35,9,-70,23,-25,23,8,10256,0,0,0,0,0,0,0,-2,0,0
46,2,35,831,-64,108,5,-256,357,12776,0,0,0,0,0,0,1,-5,39,0
47,1,35,9,62,10,6,2,1140,7696,0,0,0,0,0,0,0,-2,0,0
47,2,35,831,-46,12,3,71,221,14496,0,0,0,0,0,0,1,-5,40,0
48,1,35,9,-30,12,20,21,37,13200,0,0,0,0,0,0,-2,-2,0,0
48,2,35,834,60,-81,21,-148,84,12896,0,0,0,0,0,0,0,0,35,0
49,1,35,9,-74,8,-31,0,398,9464,0,0,0,0,0,0,0,-2,0,0
49,2,35,834,-35,-90,8,130,278,10480,0,0,0,0,0,0,-2,-3,35,0
50,1,35,9,-96,16,7,21,256,12944,0,0,0,0,0,0,-2,-2,0,0
50,2,35,834,-95,-78,1,-52,283,10712,0,0,0,0,0,0,-3,-4,35,0
51,1,35,9,37,14,5,2,230,8312,0,0,0,0,0,0,-2,-2,0,0
51,2,35,834,-125,-92,10,230,78,13976,0,0,0,0,0,0,2,1,35,0
52,1,35,9,-54,2,-27,2,198,10464,0,0,0,0,0,0,0,-2,0,0
52,2,35,836,62,-31,-27,98,109,12128,0,0,0,0,0,0,1,-3,41,0
53,1,35,11,151,4,-26,23,183,11896,0,0,0,0,0,0,0,-2,0,0
53,2,35,836,75,114,8,-47,597,15736,0,0,0,0,0,0,-2,-2,37,0
54,1,35,9,39,11,3,0,149,14224,0,0,0,0,0,0,0,-2,0,0
54,2,35,836,44,241,-33,-88,125,11800,0,0,0,0,0,0,-3,-2,37,0
55,1,35,9,98,19,19,23,30,12928,0,0,0,0,0,0,-2,-2,0,0
55,2,35,836,49,-24,16,-130,76,8488,0,0,0,0,0,0,0,-2,37,0
56,1,35,9,-26,2,9,2,37,12288,0,0,0,0,0,0,-2,-2,0,0
56,2,35,834,-91,83,14,-124,287,12528,0,0,0,0,0,0,-3,-4,39,0
57,1,35,9,-36,8,-31,1,197,15856,0,0,0,0,0,0,0,-2,0,0
57,2,35,836,-27,-154,3,-71,51,10688,0,0,0,0,0,0,-2,0,35,0
58,1,35,9,-66,12,1,4,479,11176,0,0,0,0,0,0,0,-2,0,0
58,2,35,836,-38,-24,-36,-19,136,12184,0,0,0,0,0,0,0,-2,37,0
59,1,35,9,23,8,13,0,152,13680,0,0,0,0,0,0,0,-2,0,0
59,2,35,836,-43,187,6,96,390,12488,0,0,0,0,0,0,-3,-4,37,0
60,1,35,9,1,17,9,20,223,12864,0,0,0,0,0,0,0,-2,0,0
60,2,35,836,58,-144,14,221,122,11608,0,0,0,0,0,0,2,0,33,0
61,1,35,9,-49,23,1,0,172,8888,0,0,0,0,0,0,0,-2,0,0
61,2,35,836,-35,80,9,-103,395,14416,0,0,0,0,0,0,-2,-4,35,0
62,1,35,11,-47,15,6,22,50,10584,0,0,0,0,0,0,0,-2,0,0
62,2,35,836,-84,-214,-45,111,181,15056,0,0,0,0,0,0,-3,-4,37,0
63,1,35,9,45,23,26,0,40,7920,0,0,0,0,0,0,-2,0,0,0
63,2,35,836,1,-93,11,-210,7,9048,0,0,0,0,0,0,-4,-3,37,0
